aircraft_type,category
A319,NB
A320,NB
A321,NB
B712,NB
B722,NB
B733,NB
B734,NB
B736,NB
B737,NB
B738,NB
B739,NB
B752,NB
B753,NB
DC91,NB
DC93,NB
MD82,NB
MD83,NB
MD88,NB
MD90,NB
CRJ1,RJ
CRJ2,RJ
CRJ7,RJ
CRJ9,RJ
D328,RJ
E120,RJ
E135,RJ
E145,RJ
E170,RJ
E190,RJ
E35L,RJ
E45X,RJ
E75L,RJ
E75S,RJ
A306,WB
A310,WB
A332,WB
A333,WB
A339,WB
A343,WB
A346,WB
A359,WB
A388,WB
B744,WB
B748,WB
B762,WB
B763,WB
B764,WB
B772,WB
B773,WB
B77L,WB
B77W,WB
B788,WB
B789,WB
B78X,WB
DC10,WB
MD11,WB
BE10,OTHER
BE20,OTHER
BE30,OTHER
BE33,OTHER
BE35,OTHER
BE36,OTHER
BE40,OTHER
BE55,OTHER
BE58,OTHER
BE99,OTHER
BE9L,OTHER
BE9T,OTHER
BT36,OTHER
C150,OTHER
C172,OTHER
C180,OTHER
C182,OTHER
C185,OTHER
E50P,OTHER
E545,OTHER
E550,OTHER
E55P,OTHER
EA50,OTHER
EC35,OTHER
EC45,OTHER
GALX,OTHER
GL5T,OTHER
GL7T,OTHER
GLEX,OTHER
GLF3,OTHER
GLF4,OTHER
GLF5,OTHER
GLF6,OTHER
H25B,OTHER
H25C,OTHER
LJ24,OTHER
LJ31,OTHER
LJ35,OTHER
LJ40,OTHER
LJ45,OTHER
LJ55,OTHER
LJ60,OTHER
LJ70,OTHER
LJ75,OTHER
P180,OTHER
P210,OTHER
P28A,OTHER
P28B,OTHER
P28R,OTHER
P3,OTHER
P32R,OTHER
P46T,OTHER
PA23,OTHER
PA24,OTHER
PA30,OTHER
PA31,OTHER
PA32,OTHER
PA34,OTHER
PA44,OTHER
PA46,OTHER
A119,OTHER
A124,OTHER
A139,OTHER
A20N,OTHER
A21N,OTHER
AC11,OTHER
AC50,OTHER
AC90,OTHER
AC95,OTHER
AEST,OTHER
AS50,OTHER
AS65,OTHER
ASTR,OTHER
B06,OTHER
B190,OTHER
B350,OTHER
B38M,OTHER
B407,OTHER
B429,OTHER
B430,OTHER
B52,OTHER
BCS1,OTHER
C130,OTHER
C17,OTHER
C206,OTHER
C208,OTHER
C210,OTHER
C240,OTHER
C25A,OTHER
C25B,OTHER
C25C,OTHER
C25M,OTHER
C27J,OTHER
C303,OTHER
C30J,OTHER
C310,OTHER
C340,OTHER
C414,OTHER
C421,OTHER
C425,OTHER
C441,OTHER
C500,OTHER
C501,OTHER
C510,OTHER
C525,OTHER
C550,OTHER
C55B,OTHER
C560,OTHER
C56X,OTHER
C650,OTHER
C680,OTHER
C68A,OTHER
C700,OTHER
C750,OTHER
C77R,OTHER
CH70,OTHER
CL30,OTHER
CL35,OTHER
CL60,OTHER
COL4,OTHER
COUR,OTHER
CRUZ,OTHER
DA40,OTHER
DA42,OTHER
DA62,OTHER
E2,OTHER
F18H,OTHER
F18S,OTHER
F2TH,OTHER
F900,OTHER
FA10,OTHER
FA20,OTHER
FA50,OTHER
FA7X,OTHER
FA8X,OTHER
G150,OTHER
G280,OTHER
GA5C,OTHER
H53,OTHER
HA4T,OTHER
HAWK,OTHER
HDJT,OTHER
J328,OTHER
JS31,OTHER
K35R,OTHER
LARK,OTHER
LNC4,OTHER
M200,OTHER
M20P,OTHER
M20T,OTHER
M600,OTHER
MU2,OTHER
MU30,OTHER
PAY1,OTHER
PAY2,OTHER
PAY4,OTHER
PC12,OTHER
PC24,OTHER
PRM1,OTHER
RV7,OTHER
S22T,OTHER
S76,OTHER
SB20,OTHER
SBR1,OTHER
SF50,OTHER
SR20,OTHER
SR22,OTHER
SW3,OTHER
SW4,OTHER
T38,OTHER
T6,OTHER
TBM7,OTHER
TBM8,OTHER
TBM9,OTHER
TEX2,OTHER
UNKN,OTHER
WW24,OTHER
